STATE,COUNTY,STATE_FIPS,COUNTY_FIPS,OBAMA_VOTES,OBAMA_%,MCCAIN_VOTES,MCCAIN_%,OTHER_VOTES,OTHER_%
FL,HAMILTON,12,047,2364,0.423,3179,0.569,44,0.008
TX,PRESIDIO,48,377,1252,0.713,489,0.278,16,0.009
TX,MONTGOMERY,48,339,36703,0.233,119884,0.760,1260,0.008
TX,TRAVIS,48,453,254017,0.639,136981,0.344,6716,0.017
FL,CALHOUN,12,013,1821,0.292,4345,0.696,78,0.013
FL,LIBERTY,12,077,895,0.273,2339,0.713,44,0.013
FL,COLUMBIA,12,023,9171,0.326,18670,0.664,287,0.010
FL,DUVAL,12,031,202618,0.487,210537,0.506,2606,0.006
FL,BAKER,12,003,2327,0.210,8672,0.784,60,0.005
FL,BAY,12,005,23653,0.292,56683,0.699,791,0.010
TX,LEE,48,287,2000,0.314,4312,0.676,65,0.010
TX,HARDIN,48,199,3939,0.190,16603,0.802,160,0.008
TX,GILLESPIE,48,171,2576,0.209,9563,0.775,199,0.016
TX,BLANCO,48,031,1467,0.297,3418,0.692,54,0.011
LA,SAINTMARTIN,22,099,9419,0.388,14443,0.595,390,0.016
LA,IBERVILLE,22,047,9023,0.549,7185,0.438,213,0.013
TX,LIBERTY,48,291,5991,0.277,15448,0.714,187,0.009
LA,CALCASIEU,22,019,30244,0.368,50449,0.614,1438,0.018
LA,JEFFERSONDAVIS,22,053,3923,0.291,9278,0.687,300,0.022
LA,ACADIA,22,001,7028,0.263,19229,0.720,454,0.017
FL,SUWANNEE,12,121,4916,0.278,12534,0.710,212,0.012
TX,BASTROP,48,021,11687,0.451,13817,0.533,414,0.016
TX,WASHINGTON,48,477,4034,0.281,10176,0.708,167,0.012
LA,LAFAYETTE,22,055,32145,0.336,62055,0.649,1442,0.015
TX,HAYS,48,209,28431,0.481,29638,0.502,983,0.017
LA,ASCENSION,22,005,14625,0.314,31239,0.671,707,0.015
FL,TAYLOR,12,123,2803,0.299,6457,0.689,106,0.011
FL,WAKULLA,12,129,5311,0.369,8877,0.618,188,0.013
LA,SAINTJOHNTHEBAPTIST,22,095,12424,0.574,8912,0.411,320,0.015
TX,VALVERDE,48,465,6982,0.545,5752,0.449,86,0.007
TX,EDWARDS,48,137,346,0.334,673,0.650,16,0.015
TX,KERR,48,265,5570,0.247,16752,0.743,234,0.010
FL,LAFAYETTE,12,067,642,0.191,2679,0.798,38,0.011
FL,SAINTJOHNS,12,109,35791,0.338,69222,0.654,831,0.008
TX,ORANGE,48,361,7646,0.260,21509,0.731,251,0.009
TX,WALLER,48,473,7153,0.461,8265,0.533,90,0.006
LA,SAINTCHARLES,22,089,8522,0.336,16457,0.648,418,0.017
LA,JEFFERSON,22,051,65096,0.359,113191,0.625,2833,0.016
FL,GULF,12,045,2149,0.298,4980,0.691,76,0.011
LA,ORLEANS,22,071,117102,0.794,28130,0.191,2207,0.015
FL,CLAY,12,019,26697,0.282,67203,0.711,677,0.007
TX,JEFFERSON,48,245,44888,0.508,42905,0.486,503,0.006
TX,HARRIS,48,201,590982,0.505,571883,0.488,8607,0.007
LA,SAINTBERNARD,22,087,3491,0.258,9643,0.712,407,0.030
LA,SAINTJAMES,22,093,6994,0.557,5432,0.432,138,0.011
TX,FAYETTE,48,149,3014,0.281,7582,0.708,118,0.011
LA,VERMILION,22,113,6266,0.252,18069,0.728,498,0.020
FL,BRADFORD,12,007,3430,0.294,8136,0.697,110,0.009
FL,UNION,12,125,1300,0.246,3940,0.744,53,0.010
TX,KENDALL,48,259,3599,0.215,12971,0.775,176,0.011
LA,IBERIA,22,045,12492,0.377,20127,0.607,549,0.017
TX,AUSTIN,48,015,2821,0.241,8786,0.750,114,0.010
LA,ASSUMPTION,22,007,4756,0.434,5981,0.546,223,0.020
TX,REAL,48,385,375,0.230,1238,0.760,15,0.009
TX,CALDWELL,48,055,5403,0.464,6107,0.524,138,0.012
LA,CAMERON,22,023,613,0.162,3089,0.814,91,0.024
TX,COMAL,48,091,12384,0.257,35233,0.732,541,0.011
FL,FRANKLIN,12,037,2134,0.354,3818,0.633,77,0.013
TX,COLORADO,48,089,2508,0.300,5795,0.694,50,0.006
LA,SAINTMARY,22,101,9345,0.408,13183,0.576,375,0.016
FL,ALACHUA,12,001,75565,0.602,48513,0.387,1441,0.011
FL,GILCHRIST,12,041,1996,0.255,5656,0.723,167,0.021
LA,LAFOURCHE,22,057,9662,0.255,27089,0.715,1142,0.030
TX,BANDERA,48,019,2250,0.242,6935,0.746,112,0.012
LA,PLAQUEMINES,22,075,3380,0.324,6894,0.660,175,0.017
TX,CHAMBERS,48,071,3188,0.240,9988,0.751,116,0.009
TX,GUADALUPE,48,187,16156,0.340,30869,0.650,436,0.009
FL,PUTNAM,12,107,13236,0.399,19637,0.592,298,0.009
FL,DIXIE,12,029,1925,0.265,5194,0.715,145,0.020
TX,FORTBEND,48,157,98368,0.485,103206,0.509,1248,0.006
TX,GONZALES,48,177,2167,0.345,4076,0.648,44,0.007
LA,TERREBONNE,22,109,11581,0.285,28210,0.693,905,0.022
TX,BEXAR,48,029,275527,0.524,246275,0.469,3913,0.007
TX,MEDINA,48,325,5147,0.327,10480,0.666,110,0.007
FL,FLAGLER,12,035,24726,0.504,23951,0.488,354,0.007
TX,WHARTON,48,481,4937,0.342,9431,0.654,50,0.003
TX,LAVACA,48,285,1869,0.227,6293,0.765,61,0.007
TX,UVALDE,48,463,4126,0.471,4590,0.524,50,0.006
TX,KINNEY,48,271,633,0.408,907,0.585,11,0.007
TX,GALVESTON,48,167,41805,0.398,62258,0.593,941,0.009
TX,BRAZORIA,48,039,36480,0.348,67515,0.643,945,0.009
FL,LEVY,12,075,6711,0.358,11754,0.628,260,0.014
FL,MARION,12,083,70839,0.437,89628,0.553,1555,0.010
TX,WILSON,48,493,5362,0.328,10904,0.666,100,0.006
FL,VOLUSIA,12,127,127795,0.524,113938,0.467,2091,0.009
TX,DEWITT,48,123,1716,0.259,4888,0.738,22,0.003
FL,LAKE,12,069,62948,0.428,82802,0.564,1176,0.008
TX,JACKSON,48,239,1301,0.257,3723,0.736,33,0.007
TX,ATASCOSA,48,013,4415,0.444,5462,0.550,61,0.006
TX,MATAGORDA,48,321,4440,0.359,7835,0.633,98,0.008
TX,KARNES,48,255,1760,0.389,2736,0.604,31,0.007
TX,VICTORIA,48,469,9832,0.329,19878,0.664,221,0.007
TX,FRIO,48,163,2405,0.592,1644,0.405,13,0.003
TX,ZAVALA,48,507,3263,0.842,596,0.154,17,0.004
TX,MAVERICK,48,323,8554,0.782,2316,0.212,69,0.006
FL,CITRUS,12,017,31460,0.413,43706,0.574,992,0.013
FL,SUMTER,12,119,17655,0.361,30866,0.632,347,0.007
TX,GOLIAD,48,175,1329,0.364,2298,0.629,28,0.008
FL,SEMINOLE,12,117,99335,0.482,105070,0.510,1490,0.007
FL,BREVARD,12,009,127620,0.443,157589,0.547,2650,0.009
TX,LIVEOAK,48,297,1048,0.251,3095,0.741,33,0.008
FL,ORANGE,12,095,273009,0.590,186832,0.404,2870,0.006
TX,CALHOUN,48,057,2729,0.397,4106,0.597,44,0.006
TX,BEE,48,025,3645,0.447,4471,0.548,41,0.005
FL,HERNANDO,12,053,41886,0.476,45021,0.512,994,0.011
TX,LASALLE,48,283,1052,0.592,714,0.402,10,0.006
TX,MCMULLEN,48,311,132,0.246,400,0.745,5,0.009
TX,DIMMIT,48,127,2692,0.750,874,0.244,21,0.006
TX,REFUGIO,48,391,1382,0.424,1855,0.569,24,0.007
FL,PASCO,12,101,102417,0.477,110104,0.512,2345,0.011
FL,POLK,12,105,113865,0.465,128878,0.526,2090,0.009
FL,OSCEOLA,12,097,59962,0.596,40086,0.398,622,0.006
TX,ARANSAS,48,007,3006,0.307,6693,0.684,79,0.008
TX,WEBB,48,479,33452,0.715,13119,0.280,250,0.005
TX,SANPATRICIO,48,409,8854,0.414,12404,0.580,138,0.006
FL,PINELLAS,12,103,248299,0.536,210066,0.453,4917,0.011
FL,HILLSBOROUGH,12,057,272963,0.532,236355,0.460,3994,0.008
TX,DUVAL,48,131,3298,0.748,1076,0.244,35,0.008
TX,JIMWELLS,48,249,6706,0.578,4841,0.417,65,0.006
TX,NUECES,48,355,47912,0.473,52391,0.517,927,0.009
FL,INDIANRIVER,12,061,29710,0.421,40176,0.569,705,0.010
FL,HIGHLANDS,12,055,18135,0.405,26221,0.586,427,0.009
FL,HARDEE,12,049,2568,0.346,4763,0.643,81,0.011
FL,MANATEE,12,081,70034,0.461,80721,0.531,1239,0.008
FL,OKEECHOBEE,12,093,5108,0.400,7561,0.591,117,0.009
TX,KLEBERG,48,273,5256,0.532,4540,0.460,80,0.008
FL,SAINTLUCIE,12,111,67125,0.557,52512,0.435,942,0.008
FL,SARASOTA,12,115,102686,0.495,102897,0.496,1770,0.009
TX,JIMHOGG,48,247,1336,0.736,472,0.260,7,0.004
FL,DESOTO,12,027,4383,0.433,5632,0.556,116,0.011
TX,ZAPATA,48,505,1939,0.677,919,0.321,8,0.003
TX,KENEDY,48,261,108,0.535,94,0.465,0,0.000
TX,BROOKS,48,047,1747,0.757,556,0.241,6,0.003
FL,MARTIN,12,085,33508,0.428,44143,0.564,643,0.008
FL,GLADES,12,043,1381,0.411,1938,0.577,39,0.012
FL,CHARLOTTE,12,015,39031,0.458,45205,0.531,922,0.011
FL,PALMBEACH,12,099,361271,0.612,226037,0.383,3192,0.005
FL,HENDRY,12,051,4998,0.459,5780,0.531,101,0.009
FL,LEE,12,071,119701,0.445,147608,0.548,1967,0.007
TX,STARR,48,427,8274,0.845,1492,0.152,26,0.003
TX,HIDALGO,48,215,90261,0.690,39668,0.303,855,0.007
TX,WILLACY,48,489,3409,0.695,1456,0.297,38,0.008
