STATE,COUNTY,STATE_FIPS,COUNTY_FIPS,OBAMA_VOTES,OBAMA_%,MCCAIN_VOTES,MCCAIN_%,OTHER_VOTES,OTHER_%
WI,WAUSHARA,55,137,5868,0.495,5770,0.487,211,0.018
WI,WINNEBAGO,55,139,48167,0.549,37946,0.433,1564,0.018
WI,CALUMET,55,015,13295,0.502,12722,0.480,457,0.017
ID,BUTTE,16,023,318,0.226,1056,0.749,36,0.025
VT,ORANGE,50,017,9799,0.646,5047,0.333,333,0.022
NY,LEWIS,36,049,4986,0.448,5969,0.536,183,0.016
SD,LYMAN,46,085,710,0.433,894,0.545,37,0.022
MN,PIPESTONE,27,117,2023,0.421,2652,0.552,126,0.026
MN,MURRAY,27,101,2345,0.487,2320,0.482,148,0.031
SD,JERAULD,46,073,542,0.490,546,0.494,17,0.015
MN,STEELE,27,147,9016,0.459,10068,0.512,572,0.029
MN,DODGE,27,039,4463,0.437,5468,0.535,283,0.028
SD,MOODY,46,101,1663,0.511,1508,0.463,83,0.025
MN,WASECA,27,161,4401,0.445,5211,0.527,276,0.028
SD,BUFFALO,46,017,454,0.733,156,0.252,9,0.014
SD,SANBORN,46,111,500,0.414,669,0.554,38,0.032
MN,OLMSTED,27,109,38711,0.506,36202,0.473,1557,0.020
MN,COTTONWOOD,27,033,2759,0.457,3157,0.523,120,0.020
SD,LAKE,46,079,3033,0.493,2993,0.486,131,0.021
SD,MINER,46,097,605,0.497,577,0.474,36,0.030
MN,WINONA,27,169,16308,0.584,10975,0.393,652,0.023
WY,WESTON,56,045,658,0.194,2618,0.772,117,0.035
MI,MASON,26,105,7817,0.514,7147,0.470,259,0.017
ME,CUMBERLAND,23,005,105218,0.641,56186,0.342,2747,0.017
SD,JONES,46,075,147,0.234,463,0.738,17,0.027
WY,WASHAKIE,56,043,1042,0.255,2956,0.723,91,0.022
ME,SAGADAHOC,23,023,12152,0.571,8721,0.409,428,0.020
MI,LAKE,26,085,2919,0.552,2269,0.429,104,0.020
MI,OSCEOLA,26,133,4855,0.440,5973,0.542,198,0.018
MI,ARENAC,26,011,4155,0.511,3807,0.468,166,0.020
MI,CLARE,26,035,7496,0.515,6793,0.466,278,0.019
MI,GLADWIN,26,051,6590,0.498,6391,0.483,260,0.020
WI,MONROE,55,081,10198,0.532,8666,0.453,288,0.015
ID,PAYETTE,16,075,2415,0.280,5988,0.695,210,0.024
NY,HAMILTON,36,041,1225,0.359,2141,0.628,45,0.013
MN,WATONWAN,27,165,2562,0.487,2526,0.480,170,0.032
ID,ELMORE,16,039,2591,0.307,5665,0.672,180,0.021
NY,HERKIMER,36,043,12094,0.445,14619,0.538,471,0.017
WI,LACROSSE,55,063,38524,0.609,23701,0.375,993,0.016
WY,HOTSPRINGS,56,017,619,0.243,1834,0.720,93,0.036
MI,HURON,26,063,8367,0.488,8434,0.492,334,0.019
ID,JEFFERSON,16,051,1641,0.157,8540,0.818,260,0.025
OR,HARNEY,41,025,950,0.258,2595,0.705,138,0.037
WY,FREMONT,56,013,6016,0.342,11083,0.630,493,0.028
MI,BAY,26,017,32589,0.568,23795,0.414,1044,0.018
SD,JACKSON,46,071,435,0.384,668,0.590,30,0.026
ID,BLAINE,16,013,6947,0.657,3439,0.325,185,0.018
ID,TETON,16,081,2302,0.494,2263,0.486,93,0.020
WI,GREENLAKE,55,047,4000,0.420,5393,0.566,143,0.015
WI,MARQUETTE,55,077,4068,0.518,3654,0.466,124,0.016
VT,WINDSOR,50,027,21444,0.688,9084,0.291,637,0.020
OR,DOUGLAS,41,019,20298,0.383,30919,0.584,1720,0.033
WI,FONDDULAC,55,039,23463,0.448,28164,0.538,696,0.013
SD,AURORA,46,003,655,0.438,794,0.531,46,0.031
SD,BRULE,46,015,965,0.396,1407,0.577,67,0.028
ID,MADISON,16,065,1627,0.125,11131,0.853,299,0.023
WI,SHEBOYGAN,55,117,30395,0.489,30801,0.496,911,0.015
ID,CANYON,16,027,20147,0.314,42752,0.665,1347,0.021
SD,MELLETTE,46,095,373,0.443,445,0.528,25,0.030
ID,CAMAS,16,025,187,0.303,422,0.683,9,0.015
VT,RUTLAND,50,021,19355,0.612,11584,0.366,678,0.021
SD,CUSTER,46,033,1475,0.327,2909,0.645,123,0.027
MN,ROCK,27,133,2079,0.418,2775,0.558,121,0.024
MN,NOBLES,27,105,4244,0.482,4368,0.496,201,0.023
MN,FREEBORN,27,047,9915,0.574,6955,0.403,410,0.024
MN,MOWER,27,099,11605,0.605,7075,0.369,507,0.026
MN,HOUSTON,27,055,5906,0.543,4743,0.436,234,0.021
SD,DAVISON,46,035,3554,0.420,4731,0.560,170,0.020
SD,HANSON,46,061,961,0.395,1426,0.587,44,0.018
MN,FILLMORE,27,045,5921,0.527,4993,0.445,320,0.029
MN,JACKSON,27,063,2618,0.466,2858,0.508,147,0.026
MN,FARIBAULT,27,043,3736,0.458,4196,0.515,220,0.027
SD,MINNEHAHA,46,099,39838,0.495,39251,0.487,1463,0.018
MN,MARTIN,27,091,4413,0.410,6053,0.563,288,0.027
SD,MCCOOK,46,087,1219,0.414,1646,0.559,80,0.027
MI,MIDLAND,26,111,20701,0.474,22263,0.509,743,0.017
MI,OCEANA,26,127,6405,0.512,5860,0.469,244,0.019
MI,ISABELLA,26,073,16679,0.588,11220,0.396,451,0.016
ME,YORK,23,031,64799,0.594,42389,0.388,1973,0.018
MI,MECOSTA,26,107,9101,0.488,9238,0.495,325,0.017
MI,NEWAYGO,26,123,10790,0.467,11862,0.513,453,0.020
NY,WASHINGTON,36,115,12741,0.495,12533,0.487,456,0.018
ID,ADA,16,001,82236,0.458,93328,0.520,3838,0.021
NY,WARREN,36,113,16281,0.505,15429,0.479,535,0.017
SD,TRIPP,46,123,914,0.322,1859,0.655,66,0.023
NH,BELKNAP,33,001,16796,0.502,16402,0.490,267,0.008
MI,TUSCOLA,26,157,13503,0.486,13740,0.494,555,0.020
WI,VERNON,55,123,8463,0.601,5367,0.381,245,0.017
NY,OSWEGO,36,075,24777,0.502,23571,0.478,1001,0.020
SD,SHANNON,46,113,2971,0.887,331,0.099,48,0.014
MI,SANILAC,26,151,9047,0.449,10679,0.530,443,0.022
ID,OWYHEE,16,073,944,0.233,3024,0.745,90,0.022
WI,COLUMBIA,55,021,16661,0.569,12193,0.416,418,0.014
WI,SAUK,55,111,18167,0.608,11562,0.378,447,0.015
WI,DODGE,55,027,19183,0.448,23015,0.537,625,0.015
ID,BONNEVILLE,16,019,11417,0.274,29334,0.703,952,0.023
ID,BINGHAM,16,011,4424,0.258,12230,0.713,501,0.029
OR,KLAMATH,41,035,9370,0.319,19113,0.650,916,0.031
OR,LAKE,41,037,957,0.260,2638,0.715,93,0.025
NY,ONEIDA,36,065,43506,0.461,49256,0.522,1603,0.017
NH,MERRIMACK,33,013,45078,0.566,34010,0.427,631,0.008
OR,COOS,41,011,14401,0.465,15354,0.496,1196,0.039
NH,SULLIVAN,33,019,13249,0.586,9169,0.405,196,0.009
NH,STRAFFORD,33,017,37990,0.598,25021,0.394,538,0.009
MI,SAGINAW,26,145,60276,0.579,42225,0.406,1589,0.015
WI,RICHLAND,55,103,5041,0.597,3298,0.390,111,0.013
WI,OZAUKEE,55,089,20579,0.386,32172,0.603,614,0.011
WI,WASHINGTON,55,131,25719,0.346,47729,0.641,963,0.013
IA,WINNEBAGO,19,189,3254,0.535,2730,0.449,98,0.016
IA,KOSSUTH,19,109,4625,0.508,4329,0.476,143,0.016
IA,DICKINSON,19,059,4625,0.467,5162,0.521,119,0.012
IA,EMMET,19,063,2570,0.512,2373,0.473,72,0.014
IA,WORTH,19,195,2567,0.603,1612,0.379,78,0.018
IA,OSCEOLA,19,143,1037,0.332,2027,0.648,63,0.020
WY,NIOBRARA,56,027,244,0.189,1017,0.787,32,0.025
IA,MITCHELL,19,131,3179,0.551,2469,0.428,118,0.020
IA,LYON,19,119,1675,0.269,4471,0.719,71,0.011
IA,HOWARD,19,089,2941,0.622,1722,0.364,65,0.014
IA,ALLAMAKEE,19,005,3971,0.562,2965,0.420,123,0.017
IA,WINNESHIEK,19,191,6829,0.605,4273,0.379,178,0.016
SD,LINCOLN,46,083,8642,0.416,11803,0.568,322,0.015
WY,CONVERSE,56,009,1380,0.214,4922,0.763,149,0.023
SD,CHARLESMIX,46,023,1807,0.454,2109,0.530,62,0.016
SD,TURNER,46,125,1681,0.386,2538,0.583,133,0.031
SD,HUTCHINSON,46,067,1242,0.344,2285,0.633,81,0.022
WY,NATRONA,56,025,10475,0.315,21906,0.658,886,0.027
SD,DOUGLAS,46,043,424,0.241,1293,0.736,39,0.022
SD,GREGORY,46,053,771,0.343,1423,0.633,53,0.024
SD,FALLRIVER,46,047,1338,0.351,2348,0.616,123,0.032
MI,MUSKEGON,26,121,53821,0.639,29145,0.346,1305,0.015
MI,MONTCALM,26,117,13208,0.488,13291,0.491,552,0.020
WY,SUBLETTE,56,035,936,0.215,3316,0.761,104,0.024
MI,GRATIOT,26,057,9105,0.513,8322,0.469,311,0.018
WI,CRAWFORD,55,023,4987,0.625,2830,0.355,164,0.020
NY,CAYUGA,36,011,18128,0.533,15243,0.448,651,0.019
NY,SARATOGA,36,091,56645,0.509,52855,0.475,1887,0.017
SD,BENNETT,46,007,557,0.461,614,0.508,37,0.031
SD,TODD,46,121,2208,0.781,571,0.202,49,0.017
NY,ORLEANS,36,073,6614,0.399,9708,0.585,262,0.016
NY,NIAGARA,36,063,47303,0.496,46348,0.486,1621,0.017
NY,MONROE,36,055,207371,0.582,144262,0.405,4791,0.013
NY,WAYNE,36,117,18184,0.443,22239,0.542,622,0.015
MI,LAPEER,26,087,21457,0.473,22831,0.503,1074,0.024
WY,LINCOLN,56,023,1823,0.213,6485,0.757,260,0.030
VT,BENNINGTON,50,003,12524,0.655,6133,0.321,472,0.025
WI,DANE,55,025,205984,0.728,73065,0.258,3890,0.014
MI,KENT,26,081,149909,0.494,148336,0.489,4990,0.017
NY,FULTON,36,035,9695,0.444,11709,0.536,420,0.019
NH,ROCKINGHAM,33,015,83723,0.501,81917,0.490,1453,0.009
NY,ONONDAGA,36,067,129317,0.593,84972,0.389,3950,0.018
VT,WINDHAM,50,025,17585,0.730,5997,0.249,499,0.021
IA,SIOUX,19,167,3030,0.182,13490,0.809,144,0.009
IA,O'BRIEN,19,141,2338,0.319,4894,0.667,101,0.014
IA,CERROGORDO,19,033,14405,0.597,9375,0.388,360,0.015
IA,HANCOCK,19,081,2805,0.473,3016,0.509,109,0.018
IA,PALOALTO,19,147,2428,0.505,2294,0.477,84,0.018
IA,CLAY,19,041,3925,0.467,4355,0.519,118,0.014
MI,GENESEE,26,049,143927,0.655,72451,0.330,3518,0.016
IA,CHICKASAW,19,037,3923,0.596,2557,0.388,103,0.016
IA,FLOYD,19,067,4822,0.596,3051,0.377,218,0.027
WI,IOWA,55,049,7987,0.667,3829,0.320,153,0.013
WI,GRANT,55,043,14875,0.612,9068,0.373,377,0.015
NH,HILLSBOROUGH,33,011,104820,0.514,97178,0.477,1801,0.009
MI,OTTAWA,26,139,50828,0.373,83330,0.611,2110,0.015
ID,LINCOLN,16,063,545,0.291,1232,0.659,93,0.050
ID,GOODING,16,047,1489,0.276,3765,0.698,137,0.025
WI,JEFFERSON,55,055,21448,0.497,21096,0.489,622,0.014
ID,MINIDOKA,16,067,1630,0.237,5087,0.738,173,0.025
WI,WAUKESHA,55,133,85339,0.366,145152,0.623,2406,0.010
WI,MILWAUKEE,55,079,319819,0.673,149445,0.315,5928,0.013
NY,MADISON,36,053,14692,0.493,14434,0.484,676,0.023
NH,CHESHIRE,33,005,26971,0.633,15205,0.357,425,0.010
SD,YANKTON,46,135,4838,0.477,5039,0.497,257,0.025
MI,SAINTCLAIR,26,147,40677,0.503,38536,0.476,1687,0.021
SD,BONHOMME,46,009,1367,0.431,1712,0.539,96,0.030
MI,SHIAWASSEE,26,155,19397,0.533,16268,0.447,750,0.021
NY,GENESEE,36,037,10762,0.400,15705,0.584,406,0.015
MI,IONIA,26,067,12565,0.460,14156,0.518,598,0.022
MI,CLINTON,26,037,20005,0.495,19726,0.488,650,0.016
ID,POWER,16,077,1027,0.361,1754,0.617,61,0.021
NY,ERIE,36,029,256299,0.580,178815,0.405,6871,0.015
SD,UNION,46,127,3244,0.421,4310,0.560,147,0.019
SD,CLAY,46,027,3808,0.610,2296,0.368,138,0.022
IA,FAYETTE,19,065,5908,0.576,4205,0.410,146,0.014
IA,CLAYTON,19,043,5195,0.578,3651,0.406,143,0.016
NY,MONTGOMERY,36,057,9080,0.450,10711,0.531,384,0.019
NY,ONTARIO,36,069,25103,0.492,25171,0.493,746,0.015
ID,BANNOCK,16,005,14792,0.421,19356,0.551,957,0.027
ID,CARIBOU,16,029,553,0.168,2656,0.804,93,0.028
NY,SENECA,36,099,7422,0.504,7038,0.477,281,0.019
NE,SIOUX,31,165,117,0.160,603,0.824,12,0.016
NE,SHERIDAN,31,161,454,0.184,1941,0.788,67,0.027
NE,DAWES,31,045,1285,0.340,2376,0.629,114,0.030
NE,BOYD,31,015,250,0.225,839,0.756,21,0.019
NE,KEYAPAHA,31,103,115,0.216,409,0.767,9,0.017
NE,CHERRY,31,031,599,0.196,2360,0.772,100,0.033
OR,JACKSON,41,029,49090,0.486,49043,0.485,2914,0.029
NY,LIVINGSTON,36,051,13655,0.453,16030,0.532,464,0.015
NY,RENSSELAER,36,083,39753,0.537,32840,0.444,1393,0.019
NY,SCHENECTADY,36,093,38611,0.553,29758,0.426,1473,0.021
OR,CURRY,41,015,5230,0.424,6646,0.539,456,0.037
ID,TWINFALLS,16,083,8621,0.304,19032,0.672,691,0.024
IA,PLYMOUTH,19,149,4629,0.370,7765,0.621,118,0.009
IA,BUENAVISTA,19,021,4075,0.484,4223,0.502,120,0.014
IA,CHEROKEE,19,035,2890,0.454,3372,0.530,103,0.016
IA,POCAHONTAS,19,151,1800,0.449,2138,0.533,73,0.018
IA,WRIGHT,19,197,3102,0.485,3198,0.500,95,0.015
IA,HUMBOLDT,19,091,2160,0.422,2895,0.565,67,0.013
IA,FRANKLIN,19,069,2575,0.500,2501,0.486,72,0.014
IA,BUTLER,19,023,3364,0.469,3700,0.516,102,0.014
IA,BREMER,19,017,6940,0.539,5741,0.446,190,0.015
NY,OTSEGO,36,077,13570,0.520,12026,0.460,525,0.020
NE,HOLT,31,089,1089,0.219,3746,0.753,139,0.028
MI,MACOMB,26,099,223784,0.534,187663,0.448,7769,0.019
MI,OAKLAND,26,125,372566,0.565,276956,0.420,9546,0.014
MA,ESSEX,25,009,208976,0.591,137129,0.388,7357,0.021
NE,KNOX,31,107,1255,0.307,2728,0.668,101,0.025
NE,CEDAR,31,027,1190,0.285,2912,0.698,72,0.017
NY,WYOMING,36,121,6379,0.361,10998,0.623,290,0.016
WI,GREEN,55,045,11502,0.621,6730,0.363,302,0.016
ID,JEROME,16,053,1794,0.262,4897,0.715,156,0.023
WI,ROCK,55,105,50529,0.638,27364,0.346,1276,0.016
NE,BROWN,31,017,311,0.199,1208,0.771,48,0.031
WI,WALWORTH,55,127,24177,0.480,25485,0.505,760,0.015
WI,RACINE,55,101,53408,0.531,45954,0.457,1280,0.013
NY,SCHOHARIE,36,095,6009,0.417,8071,0.560,322,0.022
NY,ALBANY,36,001,93937,0.638,50586,0.344,2743,0.019
WI,LAFAYETTE,55,065,4732,0.604,2984,0.381,115,0.015
NE,ROCK,31,149,139,0.174,640,0.799,22,0.028
NY,CORTLAND,36,023,11861,0.541,9678,0.442,381,0.017
OR,JOSEPHINE,41,033,17412,0.414,22973,0.546,1664,0.040
MI,LIVINGSTON,26,093,42349,0.425,55592,0.558,1697,0.017
MI,INGHAM,26,065,93994,0.658,46483,0.326,2252,0.016
MI,EATON,26,045,30742,0.534,25900,0.450,974,0.017
MI,BARRY,26,015,13449,0.440,16431,0.538,685,0.022
MI,ALLEGAN,26,005,24165,0.437,30061,0.544,1053,0.019
NY,YATES,36,123,4890,0.476,5269,0.512,121,0.012
NE,DIXON,31,051,946,0.339,1785,0.639,63,0.022
MA,BERKSHIRE,25,003,49558,0.749,14876,0.225,1696,0.026
NY,CHENANGO,36,017,10100,0.485,10337,0.496,410,0.020
MA,FRANKLIN,25,011,27919,0.725,9545,0.248,1065,0.028
MA,MIDDLESEX,25,017,464484,0.640,245766,0.339,15781,0.022
MA,WORCESTER,25,027,202107,0.556,152101,0.418,9386,0.026
ID,CASSIA,16,031,1332,0.170,6309,0.804,201,0.026
IA,DUBUQUE,19,061,28611,0.597,18651,0.389,691,0.014
WI,KENOSHA,55,059,45836,0.582,31609,0.401,1344,0.017
IA,DELAWARE,19,055,4649,0.522,4113,0.462,139,0.016
IA,WEBSTER,19,187,9917,0.534,8337,0.449,300,0.016
IA,BUCHANAN,19,019,6050,0.585,4139,0.400,149,0.014
IA,BLACKHAWK,19,013,39184,0.605,24662,0.381,929,0.014
NY,TOMPKINS,36,109,29826,0.701,11927,0.280,799,0.019
WY,GOSHEN,56,015,1832,0.310,3942,0.667,138,0.023
WY,PLATTE,56,031,1407,0.309,3002,0.658,151,0.033
ID,BEARLAKE,16,007,502,0.171,2377,0.808,64,0.022
NY,STEUBEN,36,101,17148,0.409,24203,0.578,560,0.013
NY,CHAUTAUQUA,36,013,29129,0.495,28579,0.486,1094,0.019
IA,WOODBURY,19,193,21983,0.491,22219,0.496,599,0.013
IA,SAC,19,161,2256,0.447,2705,0.535,92,0.018
IA,IDA,19,093,1454,0.410,2036,0.574,57,0.016
IA,CALHOUN,19,025,2341,0.451,2741,0.528,113,0.022
IA,HAMILTON,19,079,4018,0.497,3913,0.484,147,0.018
IA,HARDIN,19,083,4393,0.496,4315,0.487,151,0.017
IA,GRUNDY,19,075,2790,0.409,3945,0.578,93,0.014
MA,HAMPSHIRE,25,015,56869,0.715,20618,0.259,2083,0.026
NY,SCHUYLER,36,097,3933,0.457,4542,0.528,125,0.014
NY,CATTARAUGUS,36,009,14307,0.439,17770,0.545,540,0.017
NE,DAKOTA,31,043,2994,0.468,3292,0.515,110,0.017
NY,ALLEGANY,36,003,7016,0.381,11013,0.598,377,0.020
NY,DELAWARE,36,025,9462,0.464,10524,0.516,403,0.020
IL,JODAVIESS,17,085,6403,0.545,5170,0.440,177,0.015
NY,COLUMBIA,36,021,17556,0.558,13337,0.424,540,0.017
IL,STEPHENSON,17,177,11349,0.525,9909,0.459,347,0.016
IL,WINNEBAGO,17,201,70034,0.556,53886,0.428,2111,0.017
ID,ONEIDA,16,071,381,0.176,1724,0.797,57,0.026
IL,MCHENRY,17,111,72288,0.519,64845,0.466,2135,0.015
IL,BOONE,17,007,11333,0.511,10403,0.470,421,0.019
IL,LAKE,17,097,177242,0.593,118545,0.396,3318,0.011
NY,GREENE,36,039,9850,0.441,12059,0.540,426,0.019
MI,WAYNE,26,163,660085,0.741,219582,0.247,10659,0.012
MA,SUFFOLK,25,025,207127,0.769,57194,0.212,4900,0.018
NE,PIERCE,31,139,783,0.243,2385,0.739,58,0.018
NE,BOXBUTTE,31,013,1886,0.379,2932,0.589,161,0.032
NE,ANTELOPE,31,003,757,0.238,2383,0.748,45,0.014
MI,WASHTENAW,26,161,130578,0.698,53946,0.288,2591,0.014
WY,CARBON,56,007,2336,0.341,4331,0.632,187,0.027
WY,ALBANY,56,001,8644,0.505,7936,0.464,537,0.031
ID,FRANKLIN,16,041,600,0.118,4246,0.837,227,0.045
MI,JACKSON,26,075,37480,0.503,35692,0.479,1331,0.018
MI,CALHOUN,26,025,34561,0.538,28553,0.445,1082,0.017
MI,VANBUREN,26,159,18588,0.535,15534,0.447,644,0.019
MI,KALAMAZOO,26,077,77051,0.589,51554,0.394,2176,0.017
NY,BROOME,36,007,47204,0.531,40077,0.451,1556,0.018
NY,TIOGA,36,107,10172,0.440,12536,0.542,423,0.018
IA,JACKSON,19,097,6102,0.613,3673,0.369,180,0.018
NE,WAYNE,31,179,1249,0.328,2503,0.657,56,0.015
MA,NORFOLK,25,021,200675,0.582,136841,0.397,7400,0.021
MA,HAMPDEN,25,013,121454,0.614,71350,0.361,4916,0.025
MA,PLYMOUTH,25,023,131817,0.528,112904,0.452,5096,0.020
IA,BENTON,19,011,7058,0.515,6447,0.470,207,0.015
IA,LINN,19,113,68037,0.600,43626,0.385,1692,0.015
IA,TAMA,19,171,4899,0.554,3820,0.432,131,0.015
IA,JONES,19,105,5446,0.544,4405,0.440,153,0.015
NY,CHEMUNG,36,015,18888,0.488,19364,0.500,443,0.011
NE,THURSTON,31,173,1120,0.527,972,0.457,34,0.016
WY,SWEETWATER,56,037,5762,0.345,10360,0.620,581,0.035
PA,ERIE,42,049,75775,0.593,50351,0.394,1565,0.012
MI,BERRIEN,26,021,40381,0.520,36130,0.465,1155,0.015
IA,MONONA,19,133,2295,0.479,2411,0.503,90,0.019
IA,MARSHALL,19,127,10023,0.537,8278,0.444,356,0.019
IA,CARROLL,19,027,5302,0.510,4922,0.474,163,0.016
IA,CRAWFORD,19,047,3715,0.517,3345,0.465,131,0.018
IA,BOONE,19,015,7356,0.528,6293,0.452,280,0.020
IA,GREENE,19,073,2371,0.493,2349,0.489,84,0.018
IA,STORY,19,169,26548,0.570,18995,0.408,1032,0.022
IL,OGLE,17,141,11253,0.453,13144,0.529,453,0.018
IL,CARROLL,17,015,3965,0.517,3596,0.469,113,0.015
NY,ULSTER,36,111,54320,0.609,33300,0.373,1529,0.017
IL,COOK,17,031,1629024,0.762,487736,0.228,20706,0.010
IL,DEKALB,17,037,25784,0.575,18266,0.408,768,0.017
IL,KANE,17,089,106756,0.552,83963,0.434,2580,0.013
NE,GRANT,31,075,41,0.112,318,0.867,8,0.022
MA,BRISTOL,25,005,146861,0.604,90531,0.372,5728,0.024
MI,MONROE,26,115,39180,0.513,35858,0.469,1384,0.018
NE,HOOKER,31,091,75,0.171,355,0.810,8,0.018
NE,CUMING,31,039,1274,0.312,2732,0.668,81,0.020
NE,MADISON,31,119,4142,0.295,9655,0.687,248,0.018
NE,STANTON,31,167,664,0.266,1781,0.714,50,0.020
NE,THOMAS,31,171,51,0.131,331,0.849,8,0.020
NE,WHEELER,31,183,96,0.218,334,0.759,10,0.023
NE,BLAINE,31,009,43,0.136,266,0.842,7,0.022
NE,LOUP,31,115,86,0.219,302,0.768,5,0.013
NE,GARFIELD,31,071,212,0.206,800,0.777,18,0.018
MI,LENAWEE,26,091,24640,0.516,22225,0.466,869,0.018
NY,DUTCHESS,36,027,71060,0.537,59628,0.451,1614,0.012
MA,BARNSTABLE,25,001,74264,0.561,55694,0.421,2312,0.018
MI,BRANCH,26,023,8413,0.460,9534,0.521,338,0.019
MI,HILLSDALE,26,059,8765,0.429,11221,0.549,463,0.023
MI,SAINTJOSEPH,26,149,12322,0.479,12886,0.501,494,0.019
MI,CASS,26,027,12083,0.512,11114,0.471,379,0.016
CT,LITCHFIELD,09,005,51041,0.516,46173,0.467,1752,0.018
NE,BURT,31,021,1413,0.417,1907,0.563,67,0.020
CT,HARTFORD,09,003,268721,0.651,138984,0.337,5023,0.012
CT,TOLLAND,09,013,45053,0.597,29266,0.388,1182,0.016
IA,CLINTON,19,045,15018,0.608,9324,0.377,377,0.015
CT,WINDHAM,09,015,28673,0.564,21210,0.417,961,0.019
RI,PROVIDENCE,44,007,167704,0.664,80748,0.320,4101,0.016
NY,SULLIVAN,36,105,16850,0.540,13900,0.446,433,0.014
CA,SISKIYOU,06,093,9292,0.433,11520,0.537,658,0.031
NE,GARDEN,31,069,283,0.249,844,0.742,11,0.010
NE,MORRILL,31,123,557,0.237,1725,0.734,69,0.029
UT,CACHE,49,005,10294,0.249,29127,0.705,1911,0.046
NE,SCOTTSBLUFF,31,157,4745,0.322,9708,0.659,277,0.019
UT,RICH,49,033,154,0.153,831,0.826,21,0.021
PA,BRADFORD,42,015,10306,0.400,15057,0.584,424,0.016
PA,TIOGA,42,117,6390,0.355,11326,0.630,268,0.015
UT,BOXELDER,49,003,3311,0.174,15228,0.799,519,0.027
NV,HUMBOLDT,32,013,1909,0.341,3586,0.640,104,0.019
NV,ELKO,32,007,4541,0.286,10969,0.690,377,0.024
PA,MCKEAN,42,083,6465,0.405,9224,0.578,258,0.016
PA,POTTER,42,105,2300,0.306,5109,0.681,98,0.013
CA,DELNORTE,06,015,4323,0.454,4967,0.521,241,0.025
PA,WAYNE,42,127,9892,0.433,12702,0.556,241,0.011
PA,SUSQUEHANNA,42,115,8381,0.435,10633,0.551,272,0.014
PA,WARREN,42,123,8537,0.461,9685,0.523,295,0.016
CA,MODOC,06,049,1313,0.297,2981,0.674,126,0.029
NV,WASHOE,32,031,99671,0.556,76880,0.429,2624,0.015
IL,DUPAGE,17,043,228698,0.547,183626,0.439,5649,0.014
OH,ASHTABULA,39,007,25027,0.558,18949,0.422,898,0.020
IA,CEDAR,19,031,5221,0.540,4289,0.444,155,0.016
IL,WHITESIDE,17,195,15607,0.580,10883,0.405,416,0.015
NE,BOONE,31,011,742,0.262,2042,0.720,52,0.018
IL,LEE,17,103,7765,0.476,8258,0.506,295,0.018
IA,HARRISON,19,085,3555,0.469,3909,0.516,114,0.015
IA,IOWA,19,095,4202,0.492,4188,0.490,156,0.018
IA,DALLAS,19,049,15149,0.464,16954,0.519,537,0.017
IA,SHELBY,19,165,2863,0.444,3488,0.540,102,0.016
IA,AUDUBON,19,009,1739,0.506,1634,0.476,62,0.018
IA,POWESHIEK,19,157,5519,0.550,4340,0.433,172,0.017
IA,POLK,19,153,120984,0.564,89668,0.418,3734,0.017
IA,JASPER,19,099,10250,0.528,8794,0.453,377,0.019
IA,GUTHRIE,19,077,2625,0.449,3074,0.526,148,0.025
IA,JOHNSON,19,103,51027,0.699,20732,0.284,1216,0.017
OH,LAKE,39,085,60155,0.496,59142,0.487,2038,0.017
PA,CRAWFORD,42,039,16780,0.440,20750,0.544,604,0.016
IL,ROCKISLAND,17,161,42210,0.617,25364,0.371,827,0.012
RI,BRISTOL,44,001,16162,0.626,9260,0.359,385,0.015
IA,SCOTT,19,163,48927,0.567,36365,0.421,1079,0.013
RI,KENT,44,003,48406,0.579,33780,0.404,1492,0.018
IN,ELKHART,18,039,31398,0.439,39396,0.551,664,0.009
IN,SAINTJOSEPH,18,141,68710,0.580,48510,0.410,1169,0.010
IN,LAPORTE,18,091,28258,0.602,17918,0.382,743,0.016
IN,STEUBEN,18,151,6284,0.444,7674,0.543,188,0.013
IN,LAGRANGE,18,087,3663,0.386,5702,0.601,126,0.013
NE,COLFAX,31,037,1125,0.351,2018,0.630,60,0.019
NE,PLATTE,31,141,3796,0.283,9373,0.698,251,0.019
NE,DODGE,31,053,6689,0.430,8557,0.550,304,0.019
NE,MCPHERSON,31,117,45,0.154,240,0.819,8,0.027
NE,ARTHUR,31,005,39,0.148,217,0.825,7,0.027
NE,GREELEY,31,077,458,0.382,715,0.596,26,0.022
NE,CUSTER,31,041,1192,0.214,4301,0.771,85,0.015
NE,LOGAN,31,113,81,0.195,327,0.786,8,0.019
NE,VALLEY,31,175,706,0.291,1657,0.684,60,0.025
OH,LUCAS,39,095,142852,0.650,73706,0.335,3272,0.015
IL,WILL,17,197,160406,0.560,122597,0.428,3417,0.012
IL,KENDALL,17,093,24742,0.531,21380,0.459,509,0.011
OH,FULTON,39,051,9900,0.451,11689,0.532,384,0.017
OH,GEAUGA,39,055,21250,0.416,29096,0.569,756,0.015
CT,NEWLONDON,09,011,74776,0.599,48491,0.388,1607,0.013
IN,LAKE,18,089,139301,0.667,67742,0.325,1714,0.008
IN,PORTER,18,127,39178,0.530,33857,0.458,881,0.012
OH,WILLIAMS,39,171,8174,0.444,9880,0.537,343,0.019
NE,BANNER,31,007,62,0.149,348,0.837,6,0.014
NE,WASHINGTON,31,177,3711,0.360,6425,0.623,184,0.018
